id,driver_id,city_id,timestamp,status
051b2752-3d97-4373-9f6c-ffc418eb38f7,13,4,2020-05-19 11:28:45.057075-05,delivered
c69183b9-d158-4af6-bd3e-c83eb4fdca1a,14,5,2020-02-28 23:08:32.346675-05,delivered
0fe47df0-3ae1-4085-9892-17bf18388bfb,7,1,2019-09-22 18:20:36.407475-05,delivered
211833f7-9e49-441f-af11-ae2401c0e42c,15,2,2019-09-05 02:43:25.818675-05,delivered
94435a12-90ae-4846-a8a7-b6102d701569,8,2,2019-11-04 05:15:33.805875-05,delivered
a81af57e-9626-4b22-9ada-43e24eb523ca,17,3,2019-08-23 23:05:08.269875-05,delivered
dcbe5cc5-f91b-4618-a613-f9186260655d,19,4,2020-03-13 14:04:26.452275-05,delivered
b729cc30-f571-4510-84b1-d93af0dac4fe,16,1,2020-05-20 05:26:41.505075-05,delivered
d6146b59-5dff-43b9-852f-a05a3479a4e0,16,2,2020-01-01 17:57:56.125875-05,delivered
3fd74cfd-6fce-4672-9fa4-b8807356dbc2,7,5,2019-12-31 10:29:48.618675-05,cancelled_rider
d188adba-f2ef-4d38-bf17-83521d36a4f5,20,3,2019-07-24 08:42:51.777075-05,cancelled_rider
bb48c59b-f282-4142-abd1-e171d5a2899e,13,4,2019-08-30 18:11:48.417075-05,cancelled_driver
3efd4c98-bc59-4599-bc72-ebb1a117af27,1,3,2020-06-09 19:34:21.469875-05,delivered
52ea5e5a-4736-4794-80b7-7273c8a87890,5,1,2020-05-20 04:46:46.410675-05,cancelled_driver
8c448ac1-d6f8-463f-b91d-e66658827abd,17,3,2020-05-26 23:01:35.380275-05,delivered
10fe0681-d405-42f2-ae32-5e1e1de86e73,13,2,2020-07-10 05:48:01.521075-05,cancelled_rider
b91af462-fb2b-4b76-b9e3-e5f62f9ed7e1,14,3,2019-08-16 15:33:44.289075-05,delivered
448fc442-1e43-40d4-92fb-1daaaecb5e26,11,3,2019-12-10 02:27:54.772275-05,cancelled_driver
abb5b46a-1883-491f-a5fd-cda40606d0a7,18,3,2020-04-18 16:20:56.221875-05,cancelled_rider
a6fa0ab2-35f9-4ede-b886-720dbe09ef8e,10,2,2020-01-07 07:45:02.817075-05,cancelled_rider
04d074e8-d892-4647-b5f4-ef2e7c23df4b,15,4,2020-03-16 22:18:32.279475-05,delivered
1e8ae89d-3876-4cb5-804b-21a0a1b79c6c,14,3,2020-06-09 12:00:06.244275-05,cancelled_driver
f195c38c-3b99-45f5-9b68-4e6c7608a43a,2,2,2020-05-18 14:19:16.545075-05,cancelled_rider
afd9a6f9-5bff-462f-bd0e-8d1a2e6e03a6,12,2,2020-06-25 19:03:35.620275-05,cancelled_rider
49c7567e-7210-4830-a0d2-ad4c1e562a65,16,1,2020-04-25 05:26:09.277875-05,delivered
fe79c30c-85eb-4389-9955-8132da5ed698,10,4,2019-09-18 04:03:25.684275-05,delivered
ea25f106-5a81-45b6-ad12-ec3ea5460985,10,1,2019-09-04 20:59:42.311475-05,delivered
fa95f8ce-c6e1-4699-932d-d084fb600032,6,3,2020-02-13 04:52:09.978675-05,cancelled_driver
196d3b40-a8cb-42e5-80d4-894b2e83432c,2,4,2019-07-31 07:31:11.735475-05,delivered
41cb767d-2d10-48cc-853b-2c62ed6f72a8,7,1,2020-04-02 03:33:50.941875-05,cancelled_driver
79dedafc-5f5c-4ceb-ad08-28dd712ffed6,8,3,2019-07-22 23:09:29.111475-05,delivered
f75c6b36-94ba-480c-a0f8-ffea83d62c45,14,1,2020-05-01 19:28:28.785075-05,cancelled_driver
d1717f51-8fb2-4ed1-8dec-4d54bb0f20aa,2,3,2019-10-02 07:11:11.985075-05,delivered
5c72e154-7ac8-4cb1-828a-8171e49daaa3,7,4,2019-08-16 21:37:56.749875-05,cancelled_rider
